  0| 13 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12
  1| 13 12 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11
  2| 13 12 11 10 10 10 10 10 10 10 10 10 10 10 10 10 10
  3| 13 12 11 10  9  9  9  9  9  9  9  9  9  9  9  9  9
  4| 13 12 11 10  9  8  8  8  8  8  8  8  8  8  8  8  8
  5| 13 12 11 10  9  8  7  7  7  7  7  7  7  7  7  7  7
  6| 13 12 11 10  9  8  7  6  6  6  6  6  6  6  6  6  6
  7| 13 12 11 10  9  8  7  6  5  5  5  5  5  5  5  5  5
  8| 13 12 -2 10  9  8  7  6  5  4  4  4  4  4  4  4  4
  9| 13 12 -2 10  9  8  7  6  5  4  3  3  3  3  3  3  3
 10| 13 12 11 10  9  8  7  6  5  4  3  2  2  2  2  2  2
 11| 13 12 11 10  9  8  7  6  5  4  3  2  1  1  1  1  2
 12| 13 12 11 10  9  8  7  6  5  4  3  2  1 -1 -1  1  2
 13| 13 12 11 10  9  8  7  6  5  4  3  2  1  1  1  1  2
 14| 13 12 11 10  9  8  7  6  5  4  3  2  2  2  2  2  2
----
  0|  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9
  1|  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8
  2|  8  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7
  3|  8  7  6  6  6  6  6  6  6  6  6  6  6  6  6  6  7
  4|  8  7  6  5  5  5  5  5  5  5  5  5  5  5  5  6  7
  5|  8  7  6  5  4  4  4  4  4  4  4  4  4  4  5  6  7
  6|  8  7  6  5  4  3  3  3  3  3  3  3  3  4  5  6  6
  7|  7  7  6  5  4  3  2  2  2  2  2  2  3  4  5  5  5
  8|  6  6 -2  5  4  3  2  1  1  1  1  2  3  4  4  4  4
  9|  6  5 -2 -2 -2 -2 -2 -2 -1 -1  1  2  3  3  3  3  3
 10|  6  5  4 -2 -2 -2 -2  0  0  0  1  2  2  2  2  2  2
 11|  6  5  4  3  2  1  1  0  0  1  1  1  1  1  1  1  2
 12|  6  5  4  3  2  1  0  0  0  0  0  0  0  0  0  1  2
 13|  6  5  4  3  2  1  1  1  1  1  1  1  1  1  1  1  2
 14|  6  5  4  3  2  2  2  2  2  2  2  2  2  2  2  2  2
----
