
  0|  8  8  8  8  8  8  8  8  8  8  8  9 10 11 12 13 14
  1|  7  7  7  7  7  7  7  7  7  7  8  9 10 11 12 13 14
  2|  6  6  6  6  6  6  6  6  6  7  8  9 10 11 12 13 14
  3|  5  5  5  5  5  5  5  5  6  7  8  9 10 11 12 13 14
  4|  4  4  4  4  4  4  4  5  6  7  8  9 10 11 12 13 14
  5|  3  3  3  3  3  3  4  5  6  7  8  9 10 11 12 13 14
  6|  2  2  2  2  2  3  4  5  6  7  8  9 10 11 12 13 14
  7|  2  1  1  1  2  3  4  5  6  7  8  9 10 11 12 13 14
  8|  2  1 -1  1  2  3  4  5  6  7  8  9 10 11 12 13 14
  9|  2  1 -1  1  2  3  4  5  6  7  8  9 10 11 12 13 14
 10|  2  1  1  1  2  3  4  5  6  7  8  9 10 11 12 13 14
 11|  2  2  2  2  2  3  4  5  6  7  8  9 10 11 12 13 14
 12|  3  3  3  3  3  3  4  5  6  7  8  9 10 11 -2 13 14
 13|  4  4  4  4  4  4  4  5  6  7  8  9 10 11 12 13 14
 14|  5  5  5  5  5  5  5  5  6  7  8  9 10 11 12 13 14
----
  0|  8  8  8  8  8  8  8  8  8  8  8  9 10 11 12 13 14
  1|  7  7  7  7  7  7  7  7  7  7  8  9 10 11 12 13 14
  2|  6  6  6  6  6  6  6  6  6  7  8  9 10 11 12 13 14
  3|  5  5  5  5  5  5  5  5  6  7  8  9 10 11 12 13 14
  4|  4  4  4  4  4  4  4  5  6  7  8  9 10 11 12 13 14
  5|  3  3  3  3  3  3  4  5  6  7  8  9 10 11 12 13 14
  6|  2  2  2  2  2  3  4  5  6  7  8  9 10 11 12 13 14
  7|  2  1  1  1  2  3  4  5  6  7  8  9 10 11 12 13 14
  8|  2  1 -1  1  2  3  4  5  6  7  8  9 10 11 12 13 14
  9|  2  1 -1  1  2  3  4  5  6  7  8  9 10 11 12 13 14
 10|  2  1  1  1  2  3  4  5  6  7  8  9 10 11 12 13 14
 11|  2  2  2  2  2  3  4  5  6  7  8  9 10 11 12 13 14
 12|  3  3  3  3  3  3  4  5  6  7  8  9 10 11 12 13 14
 13|  4  4  4  4  4  4  4  5  6  7  8  9 10 11 12 13 14
 14|  5  5  5  5  5  5  5  5  6  7  8  9 10 11 12 13 14
----
